player,team,nation,pos,age,90s Playing Time,npxG Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Dylan Bronn,Salernitana,TUN,"DF,MF",28.0,0.6,0.05,0.0,0.0,0.05,1.7300000000000002,0.0,1,0,1,0,1,0,0,0,0,0,4,0,2,2,9,9,0
Désiré Doué,Rennes,FRA,"MF,FW",18.0,18.1,0.13,0.22,0.21,0.34,1.8799999999999997,0.12,121,31,45,8,78,29,64,172,18,14,6,35,55,512,442,124,5
Dženan Pejčinović,Wolfsburg,GER,FW,18.0,0.4,0.29,0.0,0.34,0.63,4.86,0.0,0,2,0,0,1,0,0,2,0,0,1,2,0,9,7,0,9
Ebenezer Akinsanmiro,Inter,NGA,MF,18.0,0.2,0.0,0.0,0.23,0.23,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,3,1,6,3,0
Eberechi Eze,Crystal Palace,ENG,"MF,FW",25.0,22.8,0.36,0.44,0.23,0.62,3.59,0.11999999999999998,93,54,45,7,68,43,69,139,17,11,12,27,48,658,522,121,5
Edan Diop,Monaco,FRA,"MF,DF",18.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,7,0,1,0,4,0,1,11,8,1,3,7,3,33,54,37,0
Eddie Nketiah,Arsenal,ENG,FW,24.0,12.0,0.38000000000000006,0.42,0.07,0.45,3.16,0.13,20,9,5,0,22,11,8,77,7,4,23,24,28,207,148,18,8
Ederson,Manchester City,BRA,GK,29.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0,0,0,1,0,0,0,8,2,4,0,20,1263,16
Edimilson Fernandes,Mainz 05,SUI,DF,27.0,14.3,0.04,0.0,0.05,0.09,1.05,0.0,53,18,11,3,9,1,6,9,16,22,19,10,8,138,418,403,13
Edmond Tapsoba,Leverkusen,BFA,DF,24.0,23.2,0.04,0.0,0.04,0.08,0.52,0.0,164,9,8,0,49,1,13,12,25,24,40,25,4,177,1290,709,4
Edoardo Bove,Roma,ITA,MF,21.0,19.8,0.1,0.0,0.04,0.14,0.96,0.0,88,16,19,1,21,2,9,47,31,11,29,31,37,265,557,165,5
Edoardo Goldaniga,Cagliari,ITA,DF,29.0,11.2,0.049999999999999996,0.0,0.01,0.06,0.36000000000000004,0.0,50,4,6,3,9,0,0,3,7,15,18,14,10,44,293,314,4
Edon Zhegrova,Lille,KVX,FW,24.0,25.4,0.24,0.24,0.24,0.49,3.2300000000000004,0.07,90,46,53,13,110,54,90,322,18,8,6,23,31,842,463,110,5
Edson Álvarez,West Ham,MEX,MF,25.0,26.4,0.05,0.04,0.02,0.07,0.64,0.06,91,12,6,1,20,1,27,26,39,42,30,33,15,201,854,565,5
Eduard Sobol,Strasbourg,UKR,DF,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,1,1,4,9,2,0
Eduardo Camavinga,Real Madrid,FRA,"MF,DF",20.0,20.2,0.05,0.0,0.07,0.11,0.8400000000000001,0.0,106,20,14,3,49,5,36,31,47,29,18,49,68,344,885,399,5
El Bilal Touré,Atalanta,MLI,FW,21.0,4.4,0.28,0.4600000000000001,0.18,0.4600000000000001,2.74,0.17,11,7,5,0,16,2,3,39,1,1,14,13,8,117,56,6,8
El Chadaille Bitshiabu,RB Leipzig,FRA,"DF,MF",18.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,1,0,5,0,1,0,0,0,11,30,26,0
Elayis Tavsan,Hellas Verona,NED,"MF,FW",22.0,0.6,0.19,0.0,0.0,0.19,5.4,0.0,2,0,1,0,2,1,1,1,0,0,0,1,0,8,3,3,9
