player,team,nation,pos,age,npxG Per 90 Minutes,npxG Per 90 Minutes,G-PK Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,Sh/90 Standard,G/Sh Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Dylan Bronn,Salernitana,TUN,"DF,MF",28.0,0.03,0.05,0.0,0.0,0.0,0.0,0.03,0.05,1.038,1.7300000000000002,0.0,0.0,1,0,1,0,1,0,0,0,0,0,4,0,2,2,9,9,0
Désiré Doué,Rennes,FRA,"MF,FW",18.0,2.353,0.13,3.982,0.22,3.801,0.21,6.154000000000001,0.34,34.028,1.8799999999999997,2.172,0.12,121,31,45,8,78,29,64,172,18,14,6,35,55,512,442,124,4
Dženan Pejčinović,Wolfsburg,GER,FW,18.0,0.11599999999999999,0.29,0.0,0.0,0.136,0.34,0.252,0.63,1.9440000000000002,4.86,0.0,0.0,0,2,0,0,1,0,0,2,0,0,1,2,0,9,7,0,1
Ebenezer Akinsanmiro,Inter,NGA,MF,18.0,0.0,0.0,0.0,0.0,0.046000000000000006,0.23,0.046000000000000006,0.23,0.0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,3,1,6,3,0
Eberechi Eze,Crystal Palace,ENG,"MF,FW",25.0,8.208,0.36,10.032,0.44,5.244000000000001,0.23,14.136000000000001,0.62,81.852,3.59,2.7359999999999998,0.11999999999999998,93,54,45,7,68,43,69,139,17,11,12,27,48,658,522,121,4
Edan Diop,Monaco,FRA,"MF,DF",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,1,0,4,0,1,11,8,1,3,7,3,33,54,37,0
Eddie Nketiah,Arsenal,ENG,FW,24.0,4.5600000000000005,0.38000000000000006,5.04,0.42,0.8400000000000001,0.07,5.4,0.45,37.92,3.16,1.56,0.13,20,9,5,0,22,11,8,77,7,4,23,24,28,207,148,18,4
Ederson,Manchester City,BRA,GK,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0,0,0,1,0,0,0,8,2,4,0,20,1263,7
Edimilson Fernandes,Mainz 05,SUI,DF,27.0,0.5720000000000001,0.04,0.0,0.0,0.7150000000000001,0.05,1.287,0.09,15.015,1.05,0.0,0.0,53,18,11,3,9,1,6,9,16,22,19,10,8,138,418,403,2
Edmond Tapsoba,Leverkusen,BFA,DF,24.0,0.9279999999999999,0.04,0.0,0.0,0.9279999999999999,0.04,1.8559999999999999,0.08,12.064,0.52,0.0,0.0,164,9,8,0,49,1,13,12,25,24,40,25,4,177,1290,709,2
Edoardo Bove,Roma,ITA,MF,21.0,1.9800000000000002,0.1,0.0,0.0,0.792,0.04,2.7720000000000002,0.14,19.008,0.96,0.0,0.0,88,16,19,1,21,2,9,47,31,11,29,31,37,265,557,165,2
Edoardo Goldaniga,Cagliari,ITA,DF,29.0,0.5599999999999999,0.049999999999999996,0.0,0.0,0.11199999999999999,0.01,0.6719999999999999,0.06,4.032,0.36000000000000004,0.0,0.0,50,4,6,3,9,0,0,3,7,15,18,14,10,44,293,314,2
Edon Zhegrova,Lille,KVX,FW,24.0,6.095999999999999,0.24,6.095999999999999,0.24,6.095999999999999,0.24,12.446,0.49,82.042,3.2300000000000004,1.778,0.07,90,46,53,13,110,54,90,322,18,8,6,23,31,842,463,110,4
Edson Álvarez,West Ham,MEX,MF,25.0,1.32,0.05,1.056,0.04,0.528,0.02,1.848,0.07,16.896,0.64,1.5839999999999999,0.06,91,12,6,1,20,1,27,26,39,42,30,33,15,201,854,565,2
Eduard Sobol,Strasbourg,UKR,DF,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,1,1,4,9,2,0
Eduardo Camavinga,Real Madrid,FRA,"MF,DF",20.0,1.01,0.05,0.0,0.0,1.4140000000000001,0.07,2.222,0.11,16.968,0.8400000000000001,0.0,0.0,106,20,14,3,49,5,36,31,47,29,18,49,68,344,885,399,2
El Bilal Touré,Atalanta,MLI,FW,21.0,1.2320000000000002,0.28,2.0240000000000005,0.4600000000000001,0.792,0.18,2.0240000000000005,0.4600000000000001,12.056000000000003,2.74,0.7480000000000001,0.17,11,7,5,0,16,2,3,39,1,1,14,13,8,117,56,6,6
El Chadaille Bitshiabu,RB Leipzig,FRA,"DF,MF",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,1,0,5,0,1,0,0,0,11,30,26,0
Elayis Tavsan,Hellas Verona,NED,"MF,FW",22.0,0.11399999999999999,0.19,0.0,0.0,0.0,0.0,0.11399999999999999,0.19,3.24,5.4,0.0,0.0,2,0,1,0,2,1,1,1,0,0,0,1,0,8,3,3,1
Eldor Shomurodov,Cagliari,UZB,"FW,MF",28.0,3.5360000000000005,0.34,3.016,0.29,1.6640000000000001,0.16,5.2,0.5,21.008000000000003,2.02,1.4560000000000002,0.14,18,10,5,2,12,7,10,52,4,4,21,11,11,174,164,33,6
Eli Junior Kroupi,Lorient,FRA,"FW,MF",17.0,3.4799999999999995,0.29,5.04,0.42,1.7999999999999998,0.15,5.28,0.44,21.96,1.83,2.7600000000000002,0.23,12,11,7,2,10,5,12,63,4,10,8,16,8,174,168,40,4
Elia Caprile,Empoli,ITA,GK,21.0,0.0,0.0,0.0,0.0,0.23,0.01,0.23,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,10,1,7,0,7,889,7
Elias Baum,Eint Frankfurt,GER,"DF,MF",17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,18,7,0
Eliesse Ben Seghir,Monaco,MAR,"MF,FW",18.0,0.8160000000000001,0.17,2.016,0.42000000000000004,0.48,0.1,1.296,0.27,14.112,2.94,0.672,0.14,21,5,6,1,26,6,6,56,6,2,5,6,19,144,128,25,6
Elif Elmas,RB Leipzig,MKD,"MF,FW",23.0,1.304,0.19176470588235295,2.014,0.29617647058823526,0.348,0.05117647058823529,1.652,0.24294117647058822,16.182000000000002,2.3797058823529413,1.254,0.18441176470588236,25,8,3,0,23,8,11,44,9,3,1,11,10,174,184,47,6
Elijah Adebayo,Luton Town,ENG,FW,25.0,5.846,0.37,9.954,0.63,0.632,0.04,6.636,0.42,31.126,1.97,5.056,0.32,23,14,4,0,16,13,18,110,1,6,43,27,16,243,172,52,4
Eliot Matazo,Monaco,BEL,MF,21.0,0.07700000000000001,0.07,0.0,0.0,1.0010000000000001,0.91,1.078,0.98,0.9680000000000001,0.88,0.0,0.0,10,2,1,0,2,1,2,2,1,3,4,5,1,17,41,20,1
Ellyes Skhiri,Eint Frankfurt,TUN,MF,28.0,2.41,0.1,1.9280000000000002,0.08,0.9640000000000001,0.04,3.3740000000000006,0.14,18.075000000000003,0.7500000000000001,2.6510000000000002,0.11,110,19,16,0,10,1,12,28,24,39,31,14,18,206,906,452,2
Elseid Hysaj,Lazio,ALB,DF,29.0,0.266,0.02,0.0,0.0,0.399,0.03,0.665,0.05,1.995,0.15,0.0,0.0,51,9,10,5,27,1,2,41,14,17,14,14,9,166,496,310,2
Elye Wahi,Lens,FRA,FW,20.0,10.716,0.564,8.084,0.4254736842105263,3.4780000000000006,0.1830526315789474,14.946000000000002,0.7866315789473685,59.032000000000004,3.1069473684210527,2.6320000000000006,0.13852631578947372,16,17,4,0,53,27,18,173,4,3,12,20,17,282,201,18,4
Elysée Logbo,Le Havre,FRA,FW,19.0,0.33599999999999997,0.12,0.0,0.0,0.11199999999999999,0.04,0.44799999999999995,0.16,4.06,1.45,0.0,0.0,2,3,0,0,1,1,4,7,0,0,4,12,0,35,36,9,1
Emanuel Emegha,Strasbourg,NED,FW,20.0,10.164000000000001,0.44000000000000006,8.085,0.35000000000000003,0.462,0.02,11.319,0.49,47.124,2.04,3.9270000000000005,0.17,11,9,2,0,24,13,10,115,5,2,33,26,24,232,238,44,4
Emanuel Vignato,Salernitana,ITA,"MF,FW",22.0,0.035,0.01,0.0,0.0,0.35000000000000003,0.1,0.385,0.11,1.015,0.29,0.0,0.0,11,5,0,0,5,1,1,15,7,1,0,3,1,38,86,31,0
Emerson,Tottenham,BRA,DF,24.0,0.258,0.02,1.032,0.08,0.387,0.03,0.645,0.05,6.063,0.47,2.193,0.17,57,3,7,2,21,2,10,35,24,20,15,14,38,249,517,462,10
Emerson Palmieri,West Ham,ITA,DF,28.0,1.396,0.04,1.047,0.03,2.443,0.07,3.839,0.11,19.195,0.55,1.745,0.05,125,25,22,7,59,9,24,124,68,43,25,32,33,521,988,679,4
Emil Audero,Inter,IDN,GK,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200,0
Emil Bohinen,Genoa,NOR,MF,24.0,0.059000000000000004,0.009076923076923078,0.0,0.0,0.338,0.052000000000000005,0.397,0.06107692307692308,3.9530000000000003,0.6081538461538462,0.0,0.0,29,7,4,1,8,0,5,11,7,14,13,5,6,84,258,118,0
Emil Ceide,Sassuolo,NOR,"FW,MF",21.0,0.1,0.05,0.0,0.0,0.24,0.12,0.34,0.17,2.04,1.02,0.0,0.0,3,4,2,0,12,5,13,16,2,0,0,2,1,45,31,13,0
Emil Forsberg,RB Leipzig,SWE,"MF,FW",31.0,0.5720000000000001,0.11000000000000001,2.028,0.39,0.8840000000000001,0.17,2.2880000000000003,0.44000000000000006,11.076,2.13,0.9359999999999999,0.18,22,6,3,0,8,4,3,38,3,0,2,4,9,105,132,25,6
Emil Krafth,Newcastle Utd,SWE,DF,28.0,0.20199999999999999,0.02,0.0,0.0,1.01,0.1,1.212,0.12,3.939,0.39,0.0,0.0,29,9,13,7,12,1,3,33,14,9,13,10,7,145,241,279,2
Emile Smith Rowe,Arsenal,ENG,MF,23.0,1.95,0.5,0.0,0.0,0.23399999999999999,0.06,2.184,0.56,14.898,3.82,0.0,0.0,23,4,11,0,11,1,3,18,1,3,3,5,2,127,106,21,1
Emiliano Martínez,Aston Villa,ARG,GK,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,5,1,7,0,25,1484,7
Emir Karic,Darmstadt 98,AUT,DF,26.0,0.396,0.02,0.0,0.0,1.188,0.06,1.584,0.08,12.078,0.61,0.0,0.0,115,21,27,9,56,1,18,85,27,13,21,17,7,344,689,389,4
Emmanuel Agbadou,Reims,CIV,DF,26.0,2.3040000000000003,0.08,0.864,0.03,1.4400000000000002,0.05,3.744,0.13,31.968000000000004,1.11,0.864,0.03,179,12,5,1,42,2,15,19,41,55,45,31,10,165,1233,820,2
Emmanuel Ekong,Empoli,SWE,FW,21.0,0.0,0.0,0.0,0.0,0.019000000000000003,0.19000000000000003,0.019000000000000003,0.19000000000000003,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0
Emmanuel Sabbi,Le Havre,USA,"FW,MF",25.0,2.4640000000000004,0.14,2.9920000000000004,0.17,1.4080000000000001,0.08,5.632000000000001,0.32,29.04,1.65,1.7600000000000002,0.1,36,10,9,3,38,16,20,101,19,19,12,26,37,272,260,106,4
Emran Soglo,Marseille,FRA,"MF,DF",18.0,0.084,0.07,0.9959999999999999,0.83,0.156,0.13,0.24,0.2,0.9959999999999999,0.83,1.2,1.0,3,2,1,1,1,1,1,8,1,1,0,2,2,18,30,14,6
Emre Can,Dortmund,GER,"MF,DF",29.0,0.6509999999999999,0.029999999999999995,0.0,0.0,1.5190000000000001,0.07,3.689,0.17,14.972999999999999,0.69,0.0,0.0,110,20,8,0,35,3,15,18,45,22,29,27,23,177,972,568,2
Eneko Ortiz,Alavés,ESP,DF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,2,0,0
Enes Ünal,Bournemouth,TUR,"FW,MF",26.0,2.9760000000000004,0.5723076923076924,1.9800000000000002,0.3807692307692308,1.3920000000000003,0.26769230769230773,4.332000000000001,0.8330769230769232,23.74,4.565384615384615,0.324,0.06230769230769231,8,8,2,0,6,1,4,35,4,1,11,15,14,99,78,21,6
Enso Gonzalez,Wolves,PAR,"MF,DF",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,4,0,0
Enzo Barrenechea,Frosinone,ARG,MF,22.0,0.624,0.02,0.0,0.0,1.56,0.05,2.184,0.07,19.968,0.64,0.0,0.0,155,25,8,0,10,0,8,24,42,27,51,32,52,205,1408,622,2
Enzo Ebosse,Udinese,CMR,DF,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,8,9,0
Enzo Fernández,Chelsea,ARG,MF,22.0,4.655,0.19,1.96,0.08,3.43,0.14,9.555,0.39,44.835,1.83,0.98,0.04,210,32,43,4,52,8,23,54,22,17,21,33,31,488,1209,442,4
Enzo Le Fée,Rennes,FRA,MF,23.0,0.51,0.03,0.0,0.0,1.87,0.11,2.3800000000000003,0.14,12.07,0.71,0.0,0.0,124,28,26,2,45,7,29,58,35,19,11,24,18,344,691,227,4
Enzo Loiodice,Las Palmas,FRA,MF,22.0,0.597,0.030000000000000002,0.0,0.0,1.393,0.07,1.7909999999999997,0.09,15.92,0.8,0.0,0.0,97,19,7,0,27,4,28,72,35,12,27,32,38,337,799,238,2
Enzo Millot,Stuttgart,FRA,"MF,FW",21.0,4.481999999999999,0.18,3.984,0.16,3.984,0.16,9.213,0.37,38.097,1.5300000000000002,2.739,0.11,127,33,31,4,46,14,46,167,22,16,7,36,35,569,1008,180,4
Enzo Mongo,Nantes,FRA,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0
Enzo Tchato,Montpellier,CMR,DF,20.0,0.375,0.03,0.0,0.0,0.375,0.03,0.625,0.05,5.0,0.4,0.0,0.0,46,7,15,11,26,3,4,57,17,11,10,15,5,196,332,222,2
Eray Cömert,Nantes,SUI,DF,25.0,0.6659999999999999,0.03,1.9979999999999998,0.09,0.222,0.01,0.888,0.04,9.101999999999999,0.4099999999999999,4.8839999999999995,0.21999999999999997,57,4,4,2,7,0,1,3,28,36,14,26,26,32,581,680,2
Eren Dinkçi,Heidenheim,GER,"FW,MF",21.0,4.409999999999999,0.15,9.996,0.34,3.822,0.13,7.938,0.27,48.803999999999995,1.66,5.88,0.2,89,36,33,15,85,22,41,143,18,12,11,28,22,468,576,182,4
Erhan Mašović,Bochum,SRB,"DF,MF",24.0,0.988,0.04,0.0,0.0,0.247,0.01,1.482,0.06,17.043,0.69,0.0,0.0,47,4,5,0,15,0,3,10,40,25,35,22,15,104,495,421,2
Eric Bailly,Villarreal,CIV,DF,29.0,0.18600000000000003,0.02,0.0,0.0,0.0,0.0,0.18600000000000003,0.02,1.953,0.21,0.0,0.0,18,0,1,0,3,0,7,1,3,9,15,6,5,9,175,282,0
Eric Curbelo,Las Palmas,ESP,"DF,MF",29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,3,2,0,0,0,1,24,51,0
Eric Dier,Tottenham,ENG,DF,29.0,0.65,0.04276315789473684,0.0,0.0,0.13,0.008552631578947369,0.78,0.05131578947368422,8.969999999999999,0.5901315789473683,0.0,0.0,56,2,1,1,8,0,1,1,9,12,37,12,10,49,726,644,2
Eric García,Barcelona,ESP,DF,22.0,2.972,0.09939799331103678,4.981000000000001,0.16658862876254182,0.5860000000000001,0.01959866220735786,3.558,0.11899665551839464,17.063000000000002,0.5706688963210703,9.083,0.30377926421404683,226,10,17,2,45,1,4,18,37,30,50,25,26,229,1411,990,2
Eric Martel,Köln,GER,MF,21.0,2.184,0.08,1.092,0.04,1.092,0.04,3.276,0.12,27.027,0.99,1.092,0.04,75,12,6,3,21,2,7,35,43,43,70,52,41,220,817,491,2
Eric Maxim Choupo-Moting,Bayern Munich,CMR,"MF,FW",34.0,4.56,0.57,2.0,0.25,1.84,0.23,6.4,0.8,26.08,3.26,0.64,0.08,21,16,8,2,23,13,23,71,12,7,15,10,7,201,152,55,6
Erik Botheim,Salernitana,NOR,"FW,MF",23.0,0.105,0.03,0.0,0.0,0.0,0.0,0.105,0.03,0.9800000000000001,0.28,0.0,0.0,5,0,1,0,3,2,1,9,0,0,2,2,11,27,49,11,0
Erling Haaland,Manchester City,NOR,FW,23.0,23.004,0.81,20.163999999999998,0.71,4.26,0.15,33.51199999999999,1.1799999999999997,113.316,3.99,5.111999999999999,0.18,26,29,11,0,35,22,12,126,3,2,39,18,31,398,206,36,4
Ermedin Demirović,Augsburg,BIH,"FW,MF",25.0,10.208,0.32,12.122,0.38,3.828,0.12,17.226,0.54,76.879,2.41,5.104,0.16,60,33,17,1,28,11,29,167,14,11,51,60,35,468,388,92,4
Ernest Nuamah,Lyon,GHA,"FW,MF",19.0,4.08,0.2,3.0599999999999996,0.15,3.876,0.19,7.752,0.38,43.044,2.11,1.428,0.07,74,29,31,5,105,38,51,237,14,8,10,50,34,561,324,128,4
Ethan Mbappé,Paris S-G,FRA,"MF,DF",16.0,0.135,0.27,0.0,0.0,0.0,0.0,0.135,0.27,1.875,3.75,0.0,0.0,1,0,1,0,1,1,0,4,0,0,0,1,1,17,24,8,1
Ethan Nwaneri,Arsenal,ENG,FW,16.0,0.0,0.0,0.0,0.0,0.03,0.15,0.03,0.15,0.0,0.0,0.0,0.0,2,1,2,0,2,0,0,1,0,0,1,1,1,11,9,0,0
Ethan Pinnock,Brentford,JAM,DF,30.0,1.9600000000000002,0.07,1.9600000000000002,0.07,1.12,0.04,3.08,0.11,19.040000000000003,0.68,3.08,0.11,61,4,5,0,11,1,6,16,23,43,113,4,11,113,661,1001,2
Ethan Wheatley,Manchester Utd,ENG,FW,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,2,0,3,0,3,3,0,0
Etienne Youte Kinkoue,Le Havre,FRA,DF,21.0,0.43200000000000005,0.02,0.0,0.0,0.0,0.0,0.43200000000000005,0.02,6.048000000000001,0.28,0.0,0.0,31,3,0,0,12,0,1,3,9,44,30,11,5,31,491,658,2
Etrit Berisha,Empoli,ALB,GK,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,2,530,7
Evan Ferguson,Brighton,IRL,FW,18.0,4.56,0.3,6.08,0.4,0.608,0.04,5.168,0.34,32.983999999999995,2.17,2.7359999999999998,0.18,15,6,4,0,13,5,7,62,6,2,13,24,25,185,204,64,4
Evann Guessand,Nice,CIV,FW,22.0,6.747000000000001,0.39,3.9790000000000005,0.23,1.3840000000000001,0.08,9.688,0.56,46.191,2.67,1.557,0.09,34,15,12,0,40,14,24,114,7,12,24,32,47,285,233,59,4
Exequiel Palacios,Leverkusen,ARG,MF,24.0,1.827,0.09,2.0300000000000002,0.1,3.857,0.19,7.1049999999999995,0.35,18.879,0.93,2.233,0.11,162,27,31,2,24,2,23,45,34,29,8,16,55,439,1461,341,4
Ezequiel Ávila,Betis,ARG,FW,29.0,2.742,0.21255813953488376,1.9499999999999997,0.1511627906976744,2.3699999999999997,0.18372093023255814,5.112,0.3962790697674419,35.952,2.7869767441860467,0.747,0.05790697674418605,45,23,20,7,21,6,7,106,3,5,14,11,32,322,230,50,4
Ezri Konsa,Aston Villa,ENG,DF,25.0,2.3870000000000005,0.07,1.023,0.029999999999999995,0.682,0.02,3.069,0.09,19.096000000000004,0.56,1.705,0.05,136,8,14,2,37,3,19,33,32,28,30,14,64,258,1146,971,2
Fabian Bredlow,Stuttgart,GER,GK,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,190,0
Fabian Holland,Darmstadt 98,GER,"MF,DF",33.0,0.612,0.030000000000000002,0.0,0.0,1.428,0.07,2.04,0.1,11.016,0.54,0.0,0.0,87,17,9,2,11,1,8,47,26,24,9,34,33,209,619,291,2
Fabian Nürnberger,Darmstadt 98,BUL,"DF,MF",24.0,0.8400000000000001,0.05,1.008,0.06,2.016,0.12,3.024,0.18,18.983999999999998,1.13,0.8400000000000001,0.05,70,30,26,12,35,7,18,91,22,17,13,18,16,332,479,237,4
Fabian Rieder,Rennes,SUI,MF,21.0,0.287,0.07,1.025,0.25,0.574,0.14,0.8609999999999999,0.21,5.042999999999999,1.23,0.82,0.2,41,4,6,1,10,1,2,18,7,5,6,10,6,76,159,25,6
Fabian Rüdlin,Freiburg,GER,MF,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
Fabian Schnellhardt,Darmstadt 98,GER,MF,29.0,0.20800000000000002,0.08,0.0,0.0,0.052000000000000005,0.02,0.28600000000000003,0.11000000000000001,4.966,1.91,0.0,0.0,15,2,1,0,6,0,1,9,1,4,1,2,3,47,110,41,1
Fabian Schär,Newcastle Utd,SUI,DF,31.0,2.373,0.07,4.068,0.12,0.6779999999999999,0.02,3.39,0.1,34.917,1.03,3.7289999999999996,0.11,133,10,18,3,28,1,13,20,24,36,69,38,26,140,1060,1304,2
Fabiano Parisi,Fiorentina,ITA,DF,22.0,0.972,0.06,0.0,0.0,2.4299999999999997,0.15,3.24,0.2,11.988,0.74,0.0,0.0,78,16,20,5,50,10,24,64,15,17,24,14,38,313,551,327,4
Fabien Centonze,Nantes,FRA,DF,27.0,0.0,0.0,0.0,0.0,1.05,0.12352941176470589,1.05,0.12352941176470589,0.9750000000000001,0.11470588235294119,0.0,0.0,15,6,11,10,21,2,11,26,9,10,10,15,9,139,207,133,2
Fabio Carvalho,RB Leipzig,POR,MF,20.0,0.216,0.12,0.0,0.0,0.234,0.13,0.45,0.25,2.952,1.64,0.0,0.0,9,2,6,1,8,1,3,13,1,0,2,0,3,61,45,13,1
Fabio Chiarodia,Gladbach,ITA,DF,18.0,0.0,0.0,0.0,0.0,0.11900000000000001,0.07,0.11900000000000001,0.07,0.0,0.0,0.0,0.0,4,1,1,1,0,0,0,1,5,3,5,1,0,5,31,73,0
Fabio González,Las Palmas,ESP,MF,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,1,2,2,0,1,1,1,19,88,26,0
Fabio Torsiello,Darmstadt 98,ITA,"FW,DF",18.0,0.272,0.16,0.0,0.0,0.0,0.0,0.272,0.16,3.927,2.31,0.0,0.0,4,0,2,1,2,0,1,8,0,1,0,4,0,20,23,5,1
Fabio Vieira,Arsenal,POR,"MF,FW",23.0,0.462,0.14,0.0,0.0,1.617,0.49000000000000005,2.871,0.87,6.006,1.82,0.0,0.0,15,5,6,1,12,6,2,30,2,2,1,8,10,97,76,14,1
Fabrizio Angileri,Getafe,ARG,"DF,MF",29.0,0.0,0.0,0.0,0.0,1.314,0.73,1.314,0.73,0.0,0.0,0.0,0.0,7,4,4,3,2,0,2,6,1,4,6,1,1,37,52,34,1
Facundo Medina,Lens,ARG,DF,24.0,1.208,0.04,0.9059999999999999,0.03,1.8119999999999998,0.06,3.02,0.1,19.026,0.63,1.51,0.05,219,25,31,7,51,4,18,20,38,24,37,51,19,239,1382,776,2
Faitout Maouassa,Granada,FRA,"DF,MF",25.0,0.22199999999999998,0.06727272727272728,0.0,0.0,0.5459999999999999,0.16545454545454544,0.768,0.23272727272727275,7.765,2.353030303030303,0.0,0.0,6,7,2,2,10,4,2,17,6,1,5,5,4,73,52,46,1
Falaye Sacko,Montpellier,MLI,DF,28.0,0.0,0.0,0.0,0.0,0.46199999999999997,0.029999999999999995,0.46199999999999997,0.029999999999999995,1.078,0.07,0.0,0.0,63,7,13,6,38,5,11,42,16,24,15,8,8,220,425,288,2
Fali,Cádiz,ESP,DF,29.0,0.849,0.03,0.0,0.0,0.0,0.0,0.849,0.03,11.037,0.39,0.0,0.0,82,4,5,1,16,0,3,10,26,27,39,23,19,52,615,647,2
Fali Candé,Metz,GNB,DF,25.0,0.8200000000000001,0.04,0.0,0.0,0.41000000000000003,0.02,1.23,0.06,12.915000000000001,0.63,0.0,0.0,38,6,2,0,4,1,7,3,19,20,30,14,16,58,404,583,2
Famara Diedhiou,Granada,SEN,"FW,MF",30.0,0.5,0.5,0.0,0.0,0.21,0.21,0.71,0.71,5.06,5.06,0.0,0.0,0,1,0,0,5,2,4,19,1,0,12,6,3,41,20,7,1
Fares Chaïbi,Toulouse,ALG,"FW,MF",20.0,2.968,0.1361467889908257,1.908,0.08752293577981651,6.958,0.3191743119266055,9.926,0.45532110091743117,39.855999999999995,1.8282568807339445,1.06,0.04862385321100918,91,53,41,10,55,12,7,155,17,5,11,15,11,572,504,116,4
Faride Alidou,Köln,GER,"FW,MF",22.0,2.9819999999999998,0.21,3.976,0.28,0.568,0.04,3.6919999999999997,0.26,32.943999999999996,2.32,1.704,0.12000000000000001,33,14,7,3,51,18,24,95,4,8,18,21,23,243,210,77,4
Faris Pemi Moumbagna,Marseille,CMR,FW,23.0,1.708,0.28,2.989,0.49,1.0979999999999999,0.18,2.8669999999999995,0.47,16.043,2.63,1.159,0.19,16,4,4,1,6,4,1,32,1,3,7,12,11,88,75,6,6
Farés Ghedjemis,Frosinone,FRA,"FW,MF",20.0,0.12,0.06,0.0,0.0,0.14,0.07,0.26,0.13,2.96,1.48,0.0,0.0,2,2,2,0,7,5,2,19,0,1,1,2,0,44,29,14,1
Fede San Emeterio,Cádiz,ESP,MF,26.0,0.051,0.03,1.003,0.59,0.085,0.05,0.153,0.09,1.003,0.59,1.7,1.0,4,1,1,1,0,0,0,0,2,2,3,8,3,6,41,20,6
Federico Baschirotto,Lecce,ITA,DF,26.0,1.4640000000000002,0.04,0.0,0.0,0.7320000000000001,0.02,2.5620000000000003,0.07,16.836000000000002,0.46,0.0,0.0,96,2,1,0,28,0,0,3,12,23,93,30,4,53,876,1172,2
Federico Bonazzoli,Hellas Verona,ITA,"FW,MF",26.0,2.825,0.25,3.0510000000000006,0.27,1.1300000000000001,0.1,3.955,0.35,27.007,2.39,1.243,0.11,26,8,7,0,13,3,6,73,1,3,6,10,20,178,216,20,6
Federico Chiesa,Juventus,ITA,FW,25.0,5.612,0.23,8.052,0.33,6.1,0.25,12.687999999999999,0.52,73.93199999999999,3.03,2.6839999999999997,0.11,70,54,45,18,111,58,35,216,10,6,0,13,40,643,303,77,4
Federico Di Francesco,Lecce,ITA,"FW,MF",29.0,0.10600000000000001,0.53,1.2000000000000002,6.000000000000001,0.0,0.0,0.10600000000000001,0.53,2.4000000000000004,12.000000000000002,0.1,0.5,1,0,0,0,1,0,0,3,0,0,0,0,0,5,8,2,6
