player,team,nation,pos,age,npxG Per 90 Minutes,npxG Per 90 Minutes,G-PK Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,Sh/90 Standard,G/Sh Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Achraf Hakimi,Paris S-G,MAR,DF,24.0,4.3,0.19999999999999998,4.085,0.19,5.16,0.24000000000000002,9.46,0.44000000000000006,42.14,1.96,2.15,0.09999999999999999,218,43,45,13,84,22,27,230,19,12,9,22,26,835,976,425,4
Adam Hložek,Leverkusen,CZE,"MF,FW",21.0,3.0599999999999996,0.6,1.9889999999999999,0.39,0.9179999999999999,0.18,3.9779999999999998,0.78,18.002999999999997,3.5299999999999994,0.5609999999999999,0.11,13,9,2,0,14,5,4,33,4,2,8,8,7,105,99,21,6
Adam Lallana,Brighton,ENG,"MF,FW",35.0,0.846,0.09,0.0,0.0,1.692,0.18,2.5380000000000003,0.27,10.904,1.16,0.0,0.0,39,15,16,1,9,4,3,55,3,3,3,8,11,229,268,80,2
Adam Marušić,Lazio,MNE,DF,30.0,0.344,0.01,1.032,0.030000000000000002,0.688,0.02,1.376,0.04,7.912,0.23,4.4719999999999995,0.13,118,10,24,11,35,3,14,108,31,29,32,24,10,391,1028,695,4
Adam Masina,Torino,MAR,DF,29.0,0.28400000000000003,0.023471074380165293,0.0,0.0,0.228,0.018842975206611573,0.512,0.04231404958677686,6.003,0.4961157024793389,0.0,0.0,43,3,4,0,3,0,1,9,12,13,26,21,5,49,323,422,2
Adam Obert,Cagliari,SVK,DF,20.0,0.105,0.01,0.0,0.0,0.945,0.09,1.05,0.1,3.045,0.29,0.0,0.0,37,6,10,6,14,1,3,5,9,21,14,14,4,52,281,256,2
Adam Smith,Bournemouth,ENG,DF,32.0,0.0,0.0,0.0,0.0,1.195,0.05,1.434,0.06,1.912,0.08,0.0,0.0,89,17,23,17,24,3,4,28,23,21,18,30,22,295,537,404,4
Adam Webster,Brighton,ENG,DF,28.0,0.38099999999999995,0.03,0.0,0.0,0.127,0.01,0.635,0.05,8.001,0.63,0.0,0.0,80,5,4,0,16,0,0,2,12,16,33,9,3,86,625,495,2
Adama Bojang,Reims,GAM,FW,19.0,1.242,1.38,0.0,0.0,0.045000000000000005,0.05,1.287,1.43,3.906,4.34,0.0,0.0,1,1,0,0,2,1,1,8,1,1,1,4,1,22,16,5,6
Adama Traoré,Fulham,ESP,"FW,MF",27.0,1.512,0.36,2.016,0.48,0.7140000000000001,0.17,2.2260000000000004,0.53,11.046,2.63,0.756,0.18,16,7,9,4,29,13,9,48,3,1,9,5,4,118,51,28,6
Adel Mahamoud,Nantes,COM,FW,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,3,0,0
Ademola Lookman,Atalanta,NGA,"FW,MF",25.0,9.03,0.43,10.92,0.52,5.25,0.25,14.280000000000001,0.68,66.78,3.18,3.36,0.16,97,50,32,2,72,35,39,222,15,9,18,28,34,607,458,54,4
Adnan Januzaj,Sevilla,BEL,"FW,MF",28.0,0.5880000000000001,0.28,0.0,0.0,0.042,0.02,0.63,0.3,5.88,2.8,0.0,0.0,9,2,1,1,1,0,5,17,3,1,3,3,9,57,56,8,1
